Bud1,"[[{'syllable': 'bud1', 'quantity': 3, 'accent': 1}]]"
x,"[[{'syllable': 'x', 'quantity': 3, 'accent': 1}]]"
tptbLustr,"[[{'syllable': 'tptblustr', 'quantity': 3, 'accent': 1}]]"
1,"[[{'syllable': '1', 'quantity': 3, 'accent': 1}]]"
7,"[[{'syllable': '7', 'quantity': 3, 'accent': 1}]]"
t,"[[{'syllable': 't', 'quantity': 3, 'accent': 1}]]"
f,"[[{'syllable': 'f', 'quantity': 3, 'accent': 1}]]"
S,"[[{'syllable': 's', 'quantity': 3, 'accent': 1}]]"
y,"[[{'syllable': 'y', 'quantity': 3, 'accent': 1}]]"
s,"[[{'syllable': 's', 'quantity': 3, 'accent': 1}]]"
e,"[[{'syllable': 'e', 'quantity': 3, 'accent': 1}]]"
m,"[[{'syllable': 'm', 'quantity': 3, 'accent': 1}]]"
V,"[[{'syllable': 'v', 'quantity': 3, 'accent': 1}]]"
o,"[[{'syllable': 'o', 'quantity': 3, 'accent': 1}]]"
l,"[[{'syllable': 'l', 'quantity': 3, 'accent': 1}]]"
u,"[[{'syllable': 'u', 'quantity': 3, 'accent': 1}]]"
D,"[[{'syllable': 'd', 'quantity': 3, 'accent': 1}]]"
a,"[[{'syllable': 'a', 'quantity': 3, 'accent': 1}]]"
U,"[[{'syllable': 'u', 'quantity': 3, 'accent': 1}]]"
r,"[[{'syllable': 'r', 'quantity': 3, 'accent': 1}]]"
h,"[[{'syllable': 'h', 'quantity': 3, 'accent': 1}]]"
G,"[[{'syllable': 'g', 'quantity': 3, 'accent': 1}]]"
i,"[[{'syllable': 'i', 'quantity': 3, 'accent': 1}]]"
_,"[[{'syllable': '_', 'quantity': 3, 'accent': 1}]]"
g,"[[{'syllable': 'g', 'quantity': 3, 'accent': 1}]]"
c,"[[{'syllable': 'c', 'quantity': 3, 'accent': 1}]]"
p,"[[{'syllable': 'p', 'quantity': 3, 'accent': 1}]]"
d,"[[{'syllable': 'd', 'quantity': 3, 'accent': 1}]]"
k,"[[{'syllable': 'k', 'quantity': 3, 'accent': 1}]]"
n,"[[{'syllable': 'n', 'quantity': 3, 'accent': 1}]]"
w,"[[{'syllable': 'w', 'quantity': 3, 'accent': 1}]]"
tptbNustr,"[[{'syllable': 'tptbnustr', 'quantity': 3, 'accent': 1}]]"
E,"[[{'syllable': 'e', 'quantity': 3, 'accent': 1}]]"
DSDB,"[[{'syllable': 'dsdb', 'quantity': 3, 'accent': 1}]]"
