Oh,"[[{'syllable': 'oh', 'quantity': 3, 'accent': 1}]]"
me,"[[{'syllable': 'me', 'quantity': 3, 'accent': 1}]]"
vaesed,"[[{'syllable': 'vae', 'quantity': 2, 'accent': 1}, {'syllable': 'sed', 'quantity': 2, 'accent': 0}]]"
öösed,"[[{'syllable': 'öö', 'quantity': 2, 'accent': 1}, {'syllable': 'sed', 'quantity': 2, 'accent': 0}]]"
orjad,"[[{'syllable': 'or', 'quantity': 2, 'accent': 1}, {'syllable': 'jad', 'quantity': 2, 'accent': 0}]]"
kas,"[[{'syllable': 'kas', 'quantity': 3, 'accent': 1}]]"
ke,"[[{'syllable': 'ke', 'quantity': 3, 'accent': 1}]]"
päesed,"[[{'syllable': 'päe', 'quantity': 2, 'accent': 1}, {'syllable': 'sed', 'quantity': 2, 'accent': 0}]]"
pärjad,"[[{'syllable': 'pär', 'quantity': 2, 'accent': 1}, {'syllable': 'jad', 'quantity': 2, 'accent': 0}]]"
kinnikiilutud,"[[{'syllable': 'kin', 'quantity': 2, 'accent': 1}, {'syllable': 'ni', 'quantity': 1, 'accent': 0}, {'syllable': 'kii', 'quantity': 2, 'accent': 1}, {'syllable': 'lu', 'quantity': 2, 'accent': 0}, {'syllable': 'tud', 'quantity': 2, 'accent': 0}]]"
sulased,"[[{'syllable': 'su', 'quantity': 1, 'accent': 1}, {'syllable': 'la', 'quantity': 1, 'accent': 0}, {'syllable': 'sed', 'quantity': 2, 'accent': 0}]]"
raudapandud,"[[{'syllable': 'rau', 'quantity': 2, 'accent': 1}, {'syllable': 'da', 'quantity': 2, 'accent': 0}, {'syllable': 'pan', 'quantity': 2, 'accent': 0}, {'syllable': 'dud', 'quantity': 2, 'accent': 0}]]"
palgalised,"[[{'syllable': 'pal', 'quantity': 2, 'accent': 1}, {'syllable': 'ga', 'quantity': 1, 'accent': 0}, {'syllable': 'li', 'quantity': 1, 'accent': 0}, {'syllable': 'sed', 'quantity': 2, 'accent': 0}]]"
peame,"[[{'syllable': 'pea', 'quantity': 2, 'accent': 1}, {'syllable': 'me', 'quantity': 1, 'accent': 0}]]"
teisi,"[[{'syllable': 'tei', 'quantity': 2, 'accent': 1}, {'syllable': 'si', 'quantity': 1, 'accent': 0}]]"
teenimä,"[[{'syllable': 'tee', 'quantity': 2, 'accent': 1}, {'syllable': 'ni', 'quantity': 1, 'accent': 0}, {'syllable': 'mä', 'quantity': 1, 'accent': 0}]]"
ja,"[[{'syllable': 'ja', 'quantity': 3, 'accent': 1}]]"
endi,"[[{'syllable': 'en', 'quantity': 2, 'accent': 1}, {'syllable': 'di', 'quantity': 1, 'accent': 0}]]"
vara,"[[{'syllable': 'va', 'quantity': 1, 'accent': 1}, {'syllable': 'ra', 'quantity': 1, 'accent': 0}]]"
vaevama,"[[{'syllable': 'vae', 'quantity': 2, 'accent': 1}, {'syllable': 'va', 'quantity': 1, 'accent': 0}, {'syllable': 'ma', 'quantity': 1, 'accent': 0}]]"
Teeni,"[[{'syllable': 'tee', 'quantity': 2, 'accent': 1}, {'syllable': 'ni', 'quantity': 1, 'accent': 0}]]"
saksa,"[[{'syllable': 'sak', 'quantity': 2, 'accent': 1}, {'syllable': 'sa', 'quantity': 1, 'accent': 0}]]"
sada,"[[{'syllable': 'sa', 'quantity': 1, 'accent': 1}, {'syllable': 'da', 'quantity': 1, 'accent': 0}]]"
aastat,"[[{'syllable': 'aas', 'quantity': 2, 'accent': 1}, {'syllable': 'tat', 'quantity': 2, 'accent': 0}]]"
