Filename,position,segment,syllable,F1 (Hz),F2 (Hz),F3 (Hz),performer
9,ictus,ɵ,1,761.8090263,1301.382769,2325.895753,MH
9,ictus,i,1,494.5512699,1851.516868,2512.721172,MH
9,ictus,uiː,1,586.6332167,1713.530093,2375.175223,MH
9,ictus,iː,1,440.5567855,2016.919198,2771.351527,MH
9,ictus,æ,1,963.4431927,1910.036587,2706.121611,MH
9,ictus,iː,1,348.4742235,2052.85745,2620.528447,MH
9,ictus,æ,1,932.1460115,1562.68561,2146.507869,MH
9,ictus,i,1,662.6484327,1464.991737,2483.324126,MH
9,ictus,yi,1,427.1616498,1872.375226,2330.048754,MH
9,ictus,æː,1,978.7936258,1846.335107,2669.782856,MH
9,ictus,æː,1,1051.495869,1627.652738,2426.9042,MH
9,ictus,ul,1,579.2049927,973.55494,2852.289678,MH
9,ictus,æ,1,925.3074537,1772.279649,2356.549371,MH
9,ictus,æi,1,570.5009936,1515.70922,2305.232317,MH
9,ictus,a,1,664.5914373,1340.229179,2473.658185,MH
9,ictus,æ,1,977.9247708,1856.074757,2693.70135,MH
9,ictus,a,1,885.3381649,1420.478291,2134.29977,MH
9,ictus,i,1,459.3624347,2172.726314,2521.41166,MH
9,ictus,aː,1,1167.815068,1497.254622,2815.705486,MH
9,ictus,i,1,481.2750645,1504.266116,2565.207886,MH
9,ictus,e,1,676.9864255,1501.184847,2238.685943,MH
9,ictus,i,1,612.128493,1280.430714,2493.999347,MH
9,ictus,u,1,627.9941191,994.7339352,2454.422056,MH
9,ictus,a,1,1197.785658,1398.149799,2675.113936,MH
9,ictus,u,1,680.3708207,1125.59641,2308.353372,MH
9,ictus,o,1,800.4761506,1240.271085,2621.253729,MH
9,ictus,oː,1,789.7849058,1187.574504,2460.348107,MH
18,ictus,i,1,400.2726861,1792.285888,2604.343407,MH
18,ictus,a,1,905.0203846,1615.360183,2670.814904,MH
18,ictus,a,1,893.6172467,1556.554823,2537.984819,MH
18,ictus,i,1,569.4316197,1889.596824,2637.020191,MH
18,ictus,a,1,1088.316206,1679.327431,2993.170965,MH
18,ictus,a,1,1200.874484,1293.220304,2859.390096,MH
18,ictus,yː,1,600.0803188,2222.850664,2621.798793,MH
18,ictus,yl,1,508.9556618,2066.987817,2444.984696,MH
