Filename,position,segment,syllable,F1 (Hz),F2 (Hz),F3 (Hz),performer
9,off,i,1,713.831828,1082.023023,2173.740372,MH
9,off,a,1,1032.18116,1204.464387,2434.534669,MH
9,off,yi,1,476.4343549,2003.082052,2529.590068,MH
9,off,æː,1,802.8776762,1663.702531,2081.908236,MH
9,off,ul,1,429.9340211,1672.546784,2885.847461,MH
9,off,æi,1,892.9999506,1770.240496,2038.905593,MH
9,off,a,1,1171.630311,1435.976871,2749.354136,MH
9,off,i,1,461.7128573,1861.89931,2543.791488,MH
9,off,a,1,1049.309739,1488.37994,2806.903815,MH
9,off,i,1,376.6526268,1884.147599,2678.357556,MH
9,off,aː,1,825.3018059,1645.063506,1972.890311,MH
9,off,i,1,606.3111834,2188.822312,2767.19679,MH
9,off,u,1,655.9659898,1512.952245,2443.498231,MH
9,off,a,1,837.1494308,1523.785612,2501.661712,MH
9,off,u,1,781.5811777,1246.223866,2437.901203,MH
9,off,oː,1,728.6386098,1600.631796,2099.598512,MH
18,off,a,1,832.9118499,1737.67716,2917.738035,MH
18,off,i,1,549.4009718,1587.384135,2495.785802,MH
18,off,a,1,852.6796427,1420.291205,2590.511128,MH
18,off,o,1,691.6366794,1299.113127,2625.598164,MH
18,off,auː,1,618.6216598,1083.352042,2876.037722,MH
18,off,el,1,507.9695125,1847.836792,2037.132745,MH
18,off,il,1,566.5957495,1641.806233,2336.413831,MH
18,off,il,1,481.2119499,1934.795696,2191.148603,MH
18,off,o,1,838.0079205,1055.657977,2607.016439,MH
18,off,aː,1,994.8050529,1665.110772,2962.579554,MH
18,off,o,1,781.2899358,988.5922149,2269.512627,MH
18,off,u,1,844.9622974,1103.760444,2631.809173,MH
18,off,o,1,784.8965878,1115.198597,2776.762381,MH
18,off,æ,1,841.4299247,1850.044063,2526.369366,MH
18,off,æi,1,803.6408208,1118.521988,2491.465238,MH
18,off,oː,1,733.6098619,1278.842223,2676.773572,MH
18,off,aː,1,631.5547077,1838.752731,2721.713798,MH
18,off,eiː,1,764.2445462,2292.614587,2732.378223,MH
18,off,o,1,854.7741492,1933.267153,2568.31418,MH
18,off,a,1,1183.831343,1346.892128,2741.909473,MH
18,off,a,1,934.0653718,1451.126458,2514.079176,MH
18,off,a,1,962.8176047,1601.271386,2124.395798,MH
18,off,u,1,468.8238725,936.9053624,2294.376425,MH
18,off,u,1,436.7532852,991.0749155,2734.129699,MH
18,off,ol,1,771.761363,1293.0694,2669.366982,MH
18,off,o,1,719.665434,1338.139436,2598.950211,MH
18,off,æːl,1,812.1476531,1756.906617,2943.304056,MH
18,off,oː,1,627.7098407,982.1784829,2341.233272,MH
18,off,e,1,823.4642072,1869.467129,2280.181537,MH
18,off,o,1,881.1271303,1411.647242,2806.398566,MH
18,off,o,1,960.0813266,1417.596984,3101.474931,MH
18,off,o,1,889.9786654,1253.270328,2629.259073,MH
18,off,a,1,885.498715,1609.526175,2485.435229,MH
18,off,æ:,1,852.7508546,1592.001537,1946.79957,MH
18,off,a,1,1009.548718,1470.672678,2912.685201,MH
18,off,u,1,403.8016704,953.1051382,2198.396374,MH
18,off,o,1,794.746731,1160.005043,2418.309468,MH
18,off,æ,1,1019.234102,1592.861936,2589.555174,MH
18,off,a,1,857.7571385,1520.201268,2629.256586,MH
18,off,aː,1,882.5338455,1454.22729,1967.827474,MH
18,off,aː,1,989.38528,1762.367903,2878.419831,MH
18,off,a,1,856.3305349,1518.410905,2324.419376,MH
18,off,i,1,393.702795,1326.328466,2436.987242,MH
18,off,eː,1,589.9406797,2141.620112,2285.814348,MH
18,off,aʎ,1,656.1234665,1577.535905,2114.324611,MH
18,off,i,1,415.5833105,1960.445928,2685.771371,MH
18,off,iː,1,435.1174397,1833.003859,2618.007959,MH
18,off,ɵ,1,796.7559875,1630.412392,2795.620299,MH
18,off,el,1,858.0736003,1818.503288,2252.535441,MH
18,off,ɵ,1,874.0292369,1854.738638,2962.166366,MH
18,off,el,1,651.8229859,2158.692068,2451.411788,MH
18,off,eiː,1,640.691619,2011.869117,2377.527517,MH
18,off,o,1,758.1596346,1439.085987,2548.696678,MH
18,off,al,1,367.5391516,1857.443217,2128.299415,MH
18,off,a,1,1034.23849,1640.598445,2666.802387,MH
65,off,i,1,788.0992991,825.3318911,2465.436067,LK
65,off,a,1,854.7914935,1543.961461,2077.349238,LK
65,off,a,1,802.1249087,1339.612405,2170.305123,LK
65,off,a,1,829.3462534,1679.119618,2173.063397,LK
65,off,iiː,1,393.4707843,1738.075707,2512.705642,LK
65,off,a,1,798.2513015,1525.256562,2161.711204,LK
65,off,o,1,840.2345099,1087.288163,2511.191831,LK
65,off,a,1,811.3345698,1445.596497,1866.443806,LK
65,off,o,1,961.3261499,1420.090334,2680.561915,LK
65,off,o,1,778.0115913,1325.895247,2329.089901,LK
65,off,u,1,679.6964792,1376.494789,1852.964651,LK
65,off,øøː,1,856.2166313,2073.63144,2585.93618,LK
65,off,eil,1,499.6200614,1650.202904,2630.102666,LK
65,off,øː,1,680.1759792,1703.441965,1980.726698,LK
65,off,u,1,519.7146937,1016.941558,2666.650062,LK
65,off,aː,1,896.6745861,1570.536826,1899.893299,LK
65,off,ol,1,785.6895637,1321.782003,2289.821895,LK
65,off,ul,1,421.5071483,1456.81952,2571.534813,LK
65,off,y,1,547.4837276,1876.628915,2162.735984,LK
65,off,a,1,982.8566682,1362.157385,1565.286602,LK
41,off,al,1,921.9207437,1392.863972,2087.305114,LK
41,off,ai,1,719.2010762,1480.843582,2308.729617,LK
41,off,iː,1,761.1962486,1306.700377,2579.176727,LK
41,off,iː,1,564.598477,1352.714089,2261.283388,LK
41,off,ai,1,715.0051101,1287.350189,2510.392096,LK
