Laula,"[[{'syllable': 'lau', 'quantity': 2, 'accent': 1}, {'syllable': 'la', 'quantity': 1, 'accent': 0}]]"
laula,"[[{'syllable': 'lau', 'quantity': 2, 'accent': 1}, {'syllable': 'la', 'quantity': 1, 'accent': 0}]]"
suukkene,"[[{'syllable': 'suuk', 'quantity': 3, 'accent': 1}, {'syllable': 'ke', 'quantity': 1, 'accent': 0}, {'syllable': 'ne', 'quantity': 1, 'accent': 0}]]"
liigu,"[[{'syllable': 'lii', 'quantity': 2, 'accent': 1}, {'syllable': 'gu', 'quantity': 1, 'accent': 0}]]"
linnu,"[[{'syllable': 'lin', 'quantity': 2, 'accent': 1}, {'syllable': 'nu', 'quantity': 1, 'accent': 0}]]"
keelekkene,"[[{'syllable': 'kee', 'quantity': 2, 'accent': 1}, {'syllable': 'lek', 'quantity': 3, 'accent': 1}, {'syllable': 'ke', 'quantity': 1, 'accent': 0}, {'syllable': 'ne', 'quantity': 1, 'accent': 0}]]"
mõlgu,"[[{'syllable': 'mõl', 'quantity': 2, 'accent': 1}, {'syllable': 'gu', 'quantity': 1, 'accent': 0}]]"
marja,"[[{'syllable': 'mar', 'quantity': 2, 'accent': 1}, {'syllable': 'ja', 'quantity': 1, 'accent': 0}]]"
meelekkene,"[[{'syllable': 'mee', 'quantity': 2, 'accent': 1}, {'syllable': 'lek', 'quantity': 3, 'accent': 1}, {'syllable': 'ke', 'quantity': 1, 'accent': 0}, {'syllable': 'ne', 'quantity': 1, 'accent': 0}]]"
iluttse,"[[{'syllable': 'i', 'quantity': 1, 'accent': 1}, {'syllable': 'lutt', 'quantity': 2, 'accent': 0}, {'syllable': 'se', 'quantity': 1, 'accent': 0}]]"
südämekkene,"[[{'syllable': 'sü', 'quantity': 1, 'accent': 0}, {'syllable': 'dä', 'quantity': 1, 'accent': 0}, {'syllable': 'mek', 'quantity': 3, 'accent': 1}, {'syllable': 'ke', 'quantity': 1, 'accent': 0}, {'syllable': 'ne', 'quantity': 1, 'accent': 0}]]"
Küll,"[[{'syllable': 'küll', 'quantity': 3, 'accent': 1}]]"
sa,"[[{'syllable': 'sa', 'quantity': 3, 'accent': 1}]]"
siis,"[[{'syllable': 'siis', 'quantity': 3, 'accent': 1}]]"
saad,"[[{'syllable': 'saad', 'quantity': 3, 'accent': 1}]]"
vaitt,"[[{'syllable': 'vaitt', 'quantity': 3, 'accent': 1}]]"
olla,"[[{'syllable': 'ol', 'quantity': 2, 'accent': 1}, {'syllable': 'la', 'quantity': 1, 'accent': 0}]]"
kui,"[[{'syllable': 'kui', 'quantity': 3, 'accent': 1}]]"
alla,"[[{'syllable': 'al', 'quantity': 2, 'accent': 1}, {'syllable': 'la', 'quantity': 1, 'accent': 0}]]"
mustta,"[[{'syllable': 'must', 'quantity': 3, 'accent': 1}, {'syllable': 'ta', 'quantity': 1, 'accent': 0}]]"
mulla,"[[{'syllable': 'mul', 'quantity': 2, 'accent': 1}, {'syllable': 'la', 'quantity': 1, 'accent': 0}]]"
valge,"[[{'syllable': 'val', 'quantity': 2, 'accent': 1}, {'syllable': 'ge', 'quantity': 1, 'accent': 0}]]"
lauade,"[[{'syllable': 'lau', 'quantity': 2, 'accent': 1}, {'syllable': 'a', 'quantity': 1, 'accent': 0}, {'syllable': 'de', 'quantity': 1, 'accent': 0}]]"
vahele,"[[{'syllable': 'va', 'quantity': 1, 'accent': 1}, {'syllable': 'he', 'quantity': 1, 'accent': 0}, {'syllable': 'le', 'quantity': 1, 'accent': 0}]]"
kena,"[[{'syllable': 'ke', 'quantity': 1, 'accent': 1}, {'syllable': 'na', 'quantity': 1, 'accent': 0}]]"
kirsttu,"[[{'syllable': 'kirst', 'quantity': 3, 'accent': 1}, {'syllable': 'tu', 'quantity': 1, 'accent': 0}]]"
keskke,"[[{'syllable': 'kesk', 'quantity': 3, 'accent': 1}, {'syllable': 'ke', 'quantity': 1, 'accent': 0}]]"
elle,"[[{'syllable': 'el', 'quantity': 2, 'accent': 1}, {'syllable': 'le', 'quantity': 1, 'accent': 0}]]"
